"sNR","mode","MHz","rxTime","senderDXCC","flowStartSeconds","senderCallsign","senderLocator","receiverCallsign","receiverLocator","receiverAntennaInformation","senderDXCCADIF","submode"
-16,"FT8","14.075818","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","WA3TUU","EN72LM",,291,
3,"FT8","14.075333","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","WB4YDL","EM56jl70mw","6-ele Yagis 120/60'",291,
-9,"FT8","14.075344","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","N8LRL","EN82mq00",,291,
-24,"FT8","14.075341","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","WA9ABB","EN81eb19mg",,291,
-16,"FT8","14.075339","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","WB4DFW","EM84NR","End fed half wave",291,
-11,"FT8","14.075321","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KC9WI","EN55KT",,291,
-6,"FT8","14.075344","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","NM4P","EM77FH","GREENSBURG KY",291,
-13,"FT8","14.075379","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","K0GMK","EN34SB","ICOM 756PRO2, DIAMOND BB7V, SIGNALLINK USB, ROCHESTER MN, USA",291,
-11,"FT8","14.075339","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","W3AEM","EN80KE","Rx DXE Mag loop or rndm wire, Tx rndm wire",291,
-6,"FT8","14.075355","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","K8WTF","EN91ci",,291,
-2,"FT8","14.075426","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","W4APZ","EM94OW",,291,
-15,"FT8","14.075311","2022-10-15 18:33:57","United States",1665858837,"KC1QBY","FN44RG","KD3LT","FM18LX",,291,
