grid,lat,lon
AF52,-38.0,-170.0
AF53,-37.0,-170.0
AF54,-36.0,-170.0
AF55,-35.0,-170.0
AF56,-34.0,-170.0
AF57,-33.0,-170.0
AF58,-32.0,-170.0
AF59,-31.0,-170.0
AF60,-40.0,-168.0
AF61,-39.0,-168.0
AF62,-38.0,-168.0
AF63,-37.0,-168.0
AF64,-36.0,-168.0
AF65,-35.0,-168.0
AF66,-34.0,-168.0
AF67,-33.0,-168.0
AF68,-32.0,-168.0
AF69,-31.0,-168.0
AF70,-40.0,-166.0
AF71,-39.0,-166.0
AF72,-38.0,-166.0
AF73,-37.0,-166.0
AF74,-36.0,-166.0
AF75,-35.0,-166.0
AF76,-34.0,-166.0
AF77,-33.0,-166.0
AF78,-32.0,-166.0
AF79,-31.0,-166.0
AF80,-40.0,-164.0
AF81,-39.0,-164.0
AF82,-38.0,-164.0
AF83,-37.0,-164.0
AF84,-36.0,-164.0
AF85,-35.0,-164.0
AF86,-34.0,-164.0
AF87,-33.0,-164.0
AF88,-32.0,-164.0
AF89,-31.0,-164.0
AF90,-40.0,-162.0
AF91,-39.0,-162.0
AF92,-38.0,-162.0
AF93,-37.0,-162.0
AF94,-36.0,-162.0
AF95,-35.0,-162.0
AF96,-34.0,-162.0
AF97,-33.0,-162.0
AF98,-32.0,-162.0
AF99,-31.0,-162.0
AG00,-30.0,-180.0
AG01,-29.0,-180.0
AG02,-28.0,-180.0
AG03,-27.0,-180.0
AG04,-26.0,-180.0
AG05,-25.0,-180.0
AG06,-24.0,-180.0
AG07,-23.0,-180.0
AG08,-22.0,-180.0
AG09,-21.0,-180.0
AG10,-30.0,-178.0
AG11,-29.0,-178.0
AG12,-28.0,-178.0
AG13,-27.0,-178.0
AG14,-26.0,-178.0
AG15,-25.0,-178.0
AG16,-24.0,-178.0
AG17,-23.0,-178.0
AG18,-22.0,-178.0
AG19,-21.0,-178.0
AG20,-30.0,-176.0
AG21,-29.0,-176.0
AG22,-28.0,-176.0
AG23,-27.0,-176.0
AG24,-26.0,-176.0
AG25,-25.0,-176.0
AG26,-24.0,-176.0
AG27,-23.0,-176.0
AG28,-22.0,-176.0
AG29,-21.0,-176.0
AG30,-30.0,-174.0
