grid,lon_lat
AG95,"(-162.0, -25.0)"
AG96,"(-162.0, -24.0)"
AG97,"(-162.0, -23.0)"
AG98,"(-162.0, -22.0)"
AG99,"(-162.0, -21.0)"
AH00,"(-180.0, -20.0)"
AH01,"(-180.0, -19.0)"
AH02,"(-180.0, -18.0)"
AH03,"(-180.0, -17.0)"
AH04,"(-180.0, -16.0)"
AH05,"(-180.0, -15.0)"
AH06,"(-180.0, -14.0)"
AH07,"(-180.0, -13.0)"
AH08,"(-180.0, -12.0)"
AH09,"(-180.0, -11.0)"
AH10,"(-178.0, -20.0)"
AH11,"(-178.0, -19.0)"
AH12,"(-178.0, -18.0)"
AH13,"(-178.0, -17.0)"
AH14,"(-178.0, -16.0)"
AH15,"(-178.0, -15.0)"
AH16,"(-178.0, -14.0)"
AH17,"(-178.0, -13.0)"
AH18,"(-178.0, -12.0)"
AH19,"(-178.0, -11.0)"
AH20,"(-176.0, -20.0)"
AH21,"(-176.0, -19.0)"
AH22,"(-176.0, -18.0)"
AH23,"(-176.0, -17.0)"
AH24,"(-176.0, -16.0)"
AH25,"(-176.0, -15.0)"
AH26,"(-176.0, -14.0)"
AH27,"(-176.0, -13.0)"
AH28,"(-176.0, -12.0)"
AH29,"(-176.0, -11.0)"
AH30,"(-174.0, -20.0)"
AH31,"(-174.0, -19.0)"
AH32,"(-174.0, -18.0)"
AH33,"(-174.0, -17.0)"
AH34,"(-174.0, -16.0)"
AH35,"(-174.0, -15.0)"
AH36,"(-174.0, -14.0)"
AH37,"(-174.0, -13.0)"
AH38,"(-174.0, -12.0)"
AH39,"(-174.0, -11.0)"
AH40,"(-172.0, -20.0)"
AH41,"(-172.0, -19.0)"
AH42,"(-172.0, -18.0)"
AH43,"(-172.0, -17.0)"
AH44,"(-172.0, -16.0)"
AH45,"(-172.0, -15.0)"
AH46,"(-172.0, -14.0)"
AH47,"(-172.0, -13.0)"
AH48,"(-172.0, -12.0)"
AH49,"(-172.0, -11.0)"
AH50,"(-170.0, -20.0)"
AH51,"(-170.0, -19.0)"
AH52,"(-170.0, -18.0)"
AH53,"(-170.0, -17.0)"
AH54,"(-170.0, -16.0)"
AH55,"(-170.0, -15.0)"
AH56,"(-170.0, -14.0)"
AH57,"(-170.0, -13.0)"
AH58,"(-170.0, -12.0)"
AH59,"(-170.0, -11.0)"
AH60,"(-168.0, -20.0)"
AH61,"(-168.0, -19.0)"
AH62,"(-168.0, -18.0)"
AH63,"(-168.0, -17.0)"
AH64,"(-168.0, -16.0)"
AH65,"(-168.0, -15.0)"
AH66,"(-168.0, -14.0)"
AH67,"(-168.0, -13.0)"
AH68,"(-168.0, -12.0)"
AH69,"(-168.0, -11.0)"
AH70,"(-166.0, -20.0)"
AH71,"(-166.0, -19.0)"
AH72,"(-166.0, -18.0)"
AH73,"(-166.0, -17.0)"
AH74,"(-166.0, -16.0)"
